title,claim,verdict,url,date
"Human-driven climate change largely responsible for last 50 years of worsening fire weather in Western North America, new study shows",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/human-driven-climate-change-largely-responsible-last-50-years-worsening-fire-weather-western-north-america-new-study-shows/,2025-05-28
"Global warming contributes to increased heat-related mortality, contrary to Bjorn Lomborg’s unsupported claims that climate change is saving hundreds of thousands of lives each year","""Global warming saves 166,000 lives each year""; those claiming that climate change is causing heat-related deaths are wrong because they ignore that the population is growing and becoming older",,https://science.feedback.org/review/global-warming-contributes-to-increased-heat-related-mortality-contrary-to-bjorn-lomborgs-unsupported-claims-that-climate-change-is-saving-hundreds-of-thousands-of-lives-each-year/,2021-09-15
"Sea temperatures around the Great Barrier Reef have increased over the last 150 years, contrary to claim at Wattsupwiththat","""Great Barrier Reef Sea Surface Temperature: No Change In 150 Years""",Inaccurate,https://science.feedback.org/review/sea-temperatures-around-the-great-barrier-reef-have-increased-over-the-last-150-years-contrary-to-claim-at-wattsupwiththat/,2021-09-08
"Solar forcing is not the main cause of current global warming, contrary to claim by Alex Newman in the Epoch Times",The Sun and not human emissions of carbon dioxide may be the main cause of warmer temperatures in recent decades. There is a systemic bias in UN IPCC's data selection.,Incorrect,https://science.feedback.org/review/solar-forcing-is-not-the-main-cause-of-current-global-warming-contrary-to-claim-by-alex-newman-in-the-epoch-times/,2021-08-30
"Despite 2021 being a good year for coral health, coral in the Great Barrier Reef has declined over the past decade and is threatened by climate change, contrary to claims by Peter Ridd",“The amount of coral on the Great Barrier Reef is at record high levels”; those claiming the reef is threatened by climate change are alarmists,Inaccurate,https://science.feedback.org/review/despite-2021-being-a-good-year-for-coral-health-coral-in-the-great-barrier-reef-has-declined-over-the-past-decade-and-is-threatened-by-climate-change-contrary-to-claims-by-peter-ridd/,2021-08-21
YouTube video falsely claims that climate models systematically over-estimated warming and that we are heading towards an ice age,"""The official observed temperatures are coming consistently below the scary global warming numbers""; ""Melting polar ice triggers ice age""",Inaccurate,https://science.feedback.org/review/youtube-video-falsely-claims-that-climate-models-systematically-over-estimated-warming-and-that-we-are-heading-towards-an-ice-age/,2021-05-27
CO2 coalition sponsored article in The Washington Times presents list of false and misleading statements about the impacts of CO2 and climate change,The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,-1.8Very low,https://science.feedback.org/review/gregory-wrightstone-article-in-the-washington-times-presents-list-of-false-and-misleading-statements-about-the-impacts-of-co2-and-climate-change-co2-coalition/,2021-05-05
Wall Street Journal article repeats multiple incorrect and misleading claims made in Steven Koonin’s new book ’Unsettled’,The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,-1.7Very low,https://science.feedback.org/review/wall-street-journal-article-repeats-multiple-incorrect-and-misleading-claims-made-in-steven-koonins-new-book-unsettled-steven-koonin/,2021-05-03
"Biden’s climate plan doesn’t say anything about limiting meat consumption, contrary to Daily Mail, Fox News claim",Biden’s climate plan limits meat consumption by 90%; “Biden's climate plan could limit you to eat just one burger a MONTH”,Inaccurate,https://science.feedback.org/review/bidens-climate-plan-doesnt-say-anything-about-limiting-meat-consumption-contrary-to-daily-mail-fox-news-claim/,2021-04-29
Video promoted by John Stossel for Earth Day relies on incorrect and misleading claims about climate change,"Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",-1.8Very low,https://science.feedback.org/review/video-promoted-by-john-stossel-for-earth-day-relies-on-incorrect-and-misleading-claims-about-climate-change/,2021-04-21
"A third of Antarctic ice shelf risks collapse at 4°C above pre-industrial levels, as accurately described in CNN article","""A third of Antarctic ice shelf risks collapse as our planet warms""",Accurate,https://science.feedback.org/review/a-third-of-antarctic-ice-shelf-risks-collapse-at-4c-above-pre-industrial-levels-as-accurately-described-in-cnn-article/,2021-04-16
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
"Cutting emissions today limits future climate impacts, but certain changes are ‘locked in’ due to past CO2 emissions","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/cutting-emissions-today-limits-future-climate-impacts-certain-changes-are-locked-in-due-to-past-co2-emissions/,2025-06-27
"Human-driven climate change largely responsible for last 50 years of worsening fire weather in Western North America, new study shows",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/human-driven-climate-change-largely-responsible-last-50-years-worsening-fire-weather-western-north-america-new-study-shows/,2025-05-28
"In viral Turning Point USA video, Candace Owens and Charlie Kirk falsely claim there is no evidence of global warming and scientists don’t know the cause","There is no factual data to back up global warming; real scientists don’t know whether CO<sub>2</sub>, solar sunspots or natural activity cause global warming",Inaccurate,https://science.feedback.org/review/in-viral-turning-point-usa-video-candace-owens-and-charlie-kirk-falsely-claim-there-is-no-evidence-of-global-warming-and-scientists-dont-know-the-cause/,2021-04-16
"Deserts cool the planet by reflecting solar radiation to space; vegetated areas have an overall warming effect, so planting trees in deserts doesn’t necessarily cool the planet","""Deserts are heat producers, reflecting around 60% to 70% of the solar energy that falls on them straight back into the atmosphere.""; ""If we want to do something about global warming, we have to do something about deserts.""",Inaccurate,https://science.feedback.org/review/deserts-cool-the-planet-by-reflecting-solar-radiation-to-space-vegetated-areas-have-an-overall-warming-effect-so-planting-trees-in-deserts-doesnt-necessarily-cool-the-planet-the-guardian/,2021-04-09
"Solar geoengineering isn’t happening or damaging the planet; aircraft contrails are formed by water vapor, not chemicals","""The intentional dimming of direct sunlight by aircraft dispersed particles, a form of global warming mitigation known as “Solar Radiation Management”, has and is causing catastrophic damage to the planet’s life support systems.""",Incorrect,https://science.feedback.org/review/solar-geoengineering-isnt-happening-or-damaging-the-planet-aircraft-contrails-are-formed-by-water-vapor-not-chemicals/,2021-03-25
"Destruction of the Amazon forest very likely contributes to global warming, as accurately described in The National Geographic article","Magnetic poles reversals involve the Earth flipping vertically and momentarily stopping its rotation, causing cataclysmic events during 6 days.",1High,https://science.feedback.org/review/destruction-of-the-amazon-forest-very-likely-contributes-to-global-warming-as-accurately-described-in-the-national-geographic-article/,2021-03-23
"Atlantic ocean circulation system is slowing down, as accurately described in The New York Times article","Global ocean temperatures have been cooling, proving there is no global warming.",1.5Very high,https://science.feedback.org/review/atlantic-ocean-circulation-system-is-slowing-down-as-accurately-described-in-the-new-york-times-article/,2021-03-11
Scientists didn’t announce impending environmental catastrophes every decade since the 1970s,"Science said in the: 70s, another ice age in 10 years; 80s, acid rain will destroy all crops in 10 years; 90s: the ozone layer will be destroyed in 10 years; 2000’s the ice caps will be gone on 10 years",Inaccurate,https://science.feedback.org/review/scientists-didnt-announce-impending-environmental-catastrophes-every-decade-since-the-1970s/,2021-03-03
"The scientific research facility HAARP cannot create natural disasters or influence human thoughts and movements, contrary to online claims","HAARP may deliberately create destruction on a global scale, causing earthquakes, cyclones, flooding, snowstorms, around the world; HAARP may be attacking the citizens of the world telepathically, influencing thoughts with low frequency vibrations",Incorrect,https://science.feedback.org/review/the-scientific-research-facility-haarp-cannot-create-natural-disasters-or-influence-human-thoughts-and-movements-contrary-to-online-claims/,2021-03-02
"Breitbart article makes numerous false claims about the impacts of climate change, based on Global Warming Policy Foundation post",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,-2Very low,https://science.feedback.org/review/breitbart-article-makes-numerous-false-claims-about-the-impacts-of-climate-change-based-on-global-warming-policy-foundation-post-delingpole-goklany/,2021-02-12
NOAA shows clear global warming trends over the past 58 years based on radiosonde data,"“The 58 year net gain of global temperature is zero. We are simply in a cyclical, normal ebb and flow of temperature.”",Inaccurate,https://science.feedback.org/review/noaa-shows-clear-global-warming-trends-over-the-past-58-years-based-on-radiosonde-data/,2021-02-05
PragerU post by Happer uses flawed reasoning to claim that climate models always fail,"""climate models that attempt to predict the future temperature of the planet...don’t work. They haven’t worked in the past. They don’t work now.""; ""the number of factors that influence climate—the sun, the earth’s orbital properties, oceans, clouds, and, yes, industrial man—is huge and enormously variable""; ""CO2 is a minor contributor to the warming of the earth""",Incorrect,https://science.feedback.org/review/prageru-post-by-william-happer-uses-flawed-reasoning-to-claim-that-climate-models-always-fail/,2021-01-27
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
"Cutting emissions today limits future climate impacts, but certain changes are ‘locked in’ due to past CO2 emissions","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/cutting-emissions-today-limits-future-climate-impacts-certain-changes-are-locked-in-due-to-past-co2-emissions/,2025-06-27
"Human-driven climate change largely responsible for last 50 years of worsening fire weather in Western North America, new study shows",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/human-driven-climate-change-largely-responsible-last-50-years-worsening-fire-weather-western-north-america-new-study-shows/,2025-05-28
"Video interview of Ian Plimer at Sky News falsely claims that a new study announces an incoming ice age, partly based on an incorrect Daily Mail headline",,-2Very low,https://science.feedback.org/review/video-interview-of-ian-plimer-at-sky-news-falsely-claims-that-a-new-study-announces-an-incoming-ice-age-partly-based-on-an-incorrect-daily-mail-headline/,2021-01-20
"Rates of global sea level rise have accelerated since 1900, contrary to bloggers’ claims",“there has not been a long-term distinctive change in sea level rise rates in the last 120 years”,Inaccurate,https://science.feedback.org/review/rates-of-global-sea-level-rise-have-accelerated-since-1900-contrary-to-bloggers-claims/,2021-01-15
Scientific studies established clear links between human-caused increased in atmospheric CO2 and global warming,“It’s a good thing that we are putting some more carbon dioxide in the atmosphere. The scientific method has not been applied in such a way as to prove that carbon dioxide is causing the Earth to warm.”,Incorrect,https://science.feedback.org/review/scientific-studies-established-clear-links-between-human-caused-increased-in-atmospheric-co2-and-global-warming-patrick-moore/,2020-12-18
"The clothing industry produces 3 to 10% of global greenhouse gas emissions, as accurately claimed in Patagonia post",“The clothing industry contributes up to 10% of the pollution driving the climate crisis.”,Accurate,https://science.feedback.org/review/the-clothing-industry-produces-3-to-10-of-global-greenhouse-gas-emissions-as-accurately-claimed-in-patagonia-post/,2020-12-06
"Brush rake attachments are primarily used to pile up heavy forest debris as part of active thinning, harvesting, and removal projects",“this is [...] a brush rake. It's used for clearing underbrush and debris from the forest floor that builds up and creates fuel for wild fires. Now you can stop looking stupid trying to make fun of Trump telling California to rake the forest.”,Misleading,https://science.feedback.org/review/brush-rake-attachments-are-primarily-used-to-pile-up-heavy-forest-debris-as-part-of-active-thinning-harvesting-and-removal-projects/,2020-11-04
Guardian article on Arctic methane emissions claiming “a new climate feedback loop may have been triggered” lacks important context,"Cow farts [methane emissions from cattle] are blamed for climate change, but there are bigger issues like people burning millions of tires in the deserts of Kuwait.",-1Low,https://science.feedback.org/review/guardian-article-on-arctic-methane-emissions-lacks-important-context-jonathan-watts/,2020-10-30
"Sea ice loss due to climate change is the biggest threat to polar bear survival and has already led to declines in some polar bear subpopulations, contrary to “Climate Realism” video message","“In 1950, there were around 10,000 polar bears globally. Today, polar bear populations are near 39,000. Polar bear populations are increasing dramatically as the planet has warmed.”",Misleading,https://science.feedback.org/review/sea-ice-loss-due-to-climate-change-is-the-biggest-threat-to-polar-bear-survival-and-has-already-led-to-declines-in-some-polar-bear-subpopulations-contrary-to-climate-realism-video-m/,2020-10-29
"Climate change can make it harder for the Amazon rainforest to grow back from deforestation, but that does not mean 40% of it will now turn into a savanna",“Amazon near tipping point of switching from rainforest to savannah”,Imprecise,https://science.feedback.org/review/climate-change-can-make-it-harder-for-the-amazon-rainforest-to-grow-back-from-deforestation-but-that-does-not-mean-40-of-it-will-now-turn-into-a-savanna/,2020-10-14
Article by The Daily Caller oversimplifies drivers of wildfires and downplays role of climate change,,-1Low,https://science.feedback.org/review/article-by-the-daily-caller-oversimplifies-drivers-of-wildfires-and-downplays-role-of-climate-change-chris-white/,2020-09-28
"Climate change, forest management and several other causes contribute to wildfire severity and total area burned in the western United States",“Forest fires are caused by poor management. Not by climate change.”,Misleading,https://science.feedback.org/review/climate-change-forest-management-and-several-other-causes-contribute-to-wildfire-severity-and-total-area-burned-in-the-western-united-states/,2020-09-16
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
"Cutting emissions today limits future climate impacts, but certain changes are ‘locked in’ due to past CO2 emissions","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/cutting-emissions-today-limits-future-climate-impacts-certain-changes-are-locked-in-due-to-past-co2-emissions/,2025-06-27
"Human-driven climate change largely responsible for last 50 years of worsening fire weather in Western North America, new study shows",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/human-driven-climate-change-largely-responsible-last-50-years-worsening-fire-weather-western-north-america-new-study-shows/,2025-05-28
Western US wildfires are not the result of widespread arson,"a distressing number of the [West coast] fires are not accidents, and willful arson is the cause.",Inaccurate,https://science.feedback.org/review/western-us-wildfires-are-not-the-result-of-widespread-arson/,2020-09-14
"Planting trees can help mitigate some aspects of climate change, but it cannot solve all environmental crises",“Trees provide a solution to almost all environmental crises we're facing. Trees reverse climate change by cleaning carbon from the air.”,Lacks context,https://science.feedback.org/review/planting-trees-can-help-mitigate-some-aspects-of-climate-change-but-it-cannot-solve-all-environmental-crises/,2020-08-25
Article by CNN exaggerates study’s implications for future Greenland ice loss with “point of no return” claim,"Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",-1Low,https://science.feedback.org/review/article-by-cnn-exaggerates-studys-implications-for-future-greenland-ice-loss/,2020-08-20
"The long-term survival of polar bears is threatened by loss of sea-ice due to global warming, new study confirms","""Global warming is driving polar bears toward extinction""",Correct,https://science.feedback.org/review/the-long-term-survival-of-polar-bears-is-threatened-by-loss-of-sea-ice-due-to-global-warming-new-study-confirms-henry-fountain/,2020-07-27
"Greenhouse gases cause global warming by trapping infra-red radiations, not by “causing more holes in the ozone layer”",Greenhouse gases emitted into the ocean are causing more holes in the ozone layer … “the ozone layer has holes in it causing global temperature to rise”,Incorrect,https://science.feedback.org/review/greenhouse-gases-cause-global-warming-by-trapping-infra-red-radiations-not-by-causing-more-holes-in-the-ozone-layer/,2020-07-21
Article by Michael Shellenberger mixes accurate and inaccurate claims in support of a misleading and overly simplistic argumentation about climate change,,-1Low,https://science.feedback.org/review/article-by-michael-shellenberger-mixes-accurate-and-inaccurate-claims-in-support-of-a-misleading-and-overly-simplistic-argumentation-about-climate-change/,2020-07-06
Study evaluates natural and human causes of recent rapid warming rate at the South Pole,Surface air temperatures at the bottom of the world have risen three times faster than the global average since the 1990s.,Accurate,https://science.feedback.org/review/study-evaluates-natural-and-human-causes-of-recent-rapid-warming-rate-at-the-south-pole/,2020-07-06
"Climate scientists agree that human-caused greenhouse gas emissions are primarily responsible for climate change, contrary to claims in Clear Energy Alliance video","The scientific consensus on whether global warming is human caused is not 97 percent, it’s less than 1 percent. There is no way to measure the human impact on climate change.",Incorrect,https://science.feedback.org/review/climate-scientists-agree-that-human-caused-greenhouse-gas-emissions-are-primarily-responsible-for-climate-change-contrary-to-claims-in-clear-energy-alliance-video/,2020-06-25
Article in The Guardian misleads readers about sensitivity of climate models by narrowly focusing on single study,New study shows that climate change is greatly overestimated because oceans are cooling Earth far more than we thought,-1Low,https://science.feedback.org/review/article-in-the-guardian-misleads-readers-about-sensitivity-of-climate-models-by-narrowly-focusing-on-single-study-jonathan-watts/,2020-06-18
Video from PragerU makes several incorrect and misleading claims about climate change,"Whether all that additional carbon dioxide is a function of human activity, that’s still debatable.",-2Very low,https://science.feedback.org/review/video-from-prageru-makes-several-incorrect-and-misleading-claims-about-climate-change-richard-lindzen/,2020-05-23
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
"Cutting emissions today limits future climate impacts, but certain changes are ‘locked in’ due to past CO2 emissions","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/cutting-emissions-today-limits-future-climate-impacts-certain-changes-are-locked-in-due-to-past-co2-emissions/,2025-06-27
"Human-driven climate change largely responsible for last 50 years of worsening fire weather in Western North America, new study shows",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/human-driven-climate-change-largely-responsible-last-50-years-worsening-fire-weather-western-north-america-new-study-shows/,2025-05-28
"Low solar activity has little effect on Earth’s climate, contrary to claim in The Sun","""The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists""",Incorrect,https://science.feedback.org/review/low-solar-activity-has-little-effect-on-earths-climate-contrary-to-claim-in-the-sun/,2020-05-20
"The global polar bear population is threatened by loss of sea ice, contrary to PragerU's video claim",The polar bear population has been growing. Polar bears are thriving even where sea ice is diminishing.,Incorrect,https://science.feedback.org/review/the-global-polar-bear-population-is-threatened-by-loss-of-sea-ice-contrary-to-pragerus-video-claim/,2020-05-18
Article in Business Insider accurately describes results from a study estimating up to 3 billion people could live in much warmer temperatures by 2070,"“even IF mankind is influencing the temperature, it is insignificant compared to the natural forces”",0.3Neutral,https://science.feedback.org/review/article-in-business-insider-accurately-describes-results-from-a-study-estimating-up-to-3-billion-people-could-live-in-much-warmer-temperatures-by-2070/,2020-05-12
"Diesel cars are a major source of NO2 emissions in European cities, contrary to online claim",The drop in NO<sub>2</sub> content has only been “slight”. So it cannot be the evil diesel engine cars that are “choking” our cities.,Flawed reasoning,https://science.feedback.org/review/diesel-cars-are-a-major-source-of-no2-emissions-in-european-cities-contrary-to-online-claim/,2020-05-02
"Claim that CO2 is cooling the planet is misleading, anthropogenic CO2 emissions overall cause global warming",Global warming slowing down? 'Ironic' study finds more CO<sub>2</sub> has slightly cooled the planet,Imprecise,https://science.feedback.org/review/claim-that-co2-is-cooling-the-planet-is-misleading-anthropogenic-co2-emissions-overall-cause-global-warming/,2020-04-24
"Human activities have dramatically increased atmospheric CO2 levels, causing imbalances in the global carbon cycle",Human additions of CO<sub>2</sub> are in the margin of error of current measurements and the gradual increase in CO<sub>2</sub> is mainly from oceans degassing as the planet slowly emerges from the last ice age.,Incorrect,https://science.feedback.org/review/human-activities-have-dramatically-increased-atmospheric-co2-levels-causing-imbalances-in-the-global-carbon-cycle/,2020-04-20
"Human-induced increases in greenhouse gases are the primary driver of global warming, contrary to claims in CFACT article",They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide. I hope my readers can recognize the absurdity of their claims. … increasing sunspots are linked to increases in earth temperature,Incorrect,https://science.feedback.org/review/human-induced-increases-in-greenhouse-gases-are-the-primary-driver-of-global-warming-contrary-to-claims-in-cfact-article/,2020-04-15
Scientists observe most widespread bleaching event ever recorded at The Great Barrier Reef,The Great Barrier Reef is experiencing the most widespread bleaching ever recorded,Accurate,https://science.feedback.org/review/scientists-observe-most-widespread-bleaching-event-ever-recorded-at-the-great-barrier-reef/,2020-04-11
"The Antarctic ozone layer is recovering, but The Independent claim fails to grasp significance of study it relies on",The ozone layer is healing,Mostly accurate,https://science.feedback.org/review/the-antarctic-ozone-layer-is-recovering-but-the-independent-claim-fails-to-grasp-significance-of-study-it-relies-on/,2020-04-07
Deforestation can facilitate the emergence and spread of some infectious diseases,Deforestation has made humans more vulnerable to pandemics,Mostly accurate,https://science.feedback.org/review/deforestation-can-facilitate-the-emergence-and-spread-of-some-infectious-diseases/,2020-04-01
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
"Cutting emissions today limits future climate impacts, but certain changes are ‘locked in’ due to past CO2 emissions","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/cutting-emissions-today-limits-future-climate-impacts-certain-changes-are-locked-in-due-to-past-co2-emissions/,2025-06-27
"Human-driven climate change largely responsible for last 50 years of worsening fire weather in Western North America, new study shows",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/human-driven-climate-change-largely-responsible-last-50-years-worsening-fire-weather-western-north-america-new-study-shows/,2025-05-28
Global data contradict claim of no acceleration in sea level rise,The long-term tide gauge datasets are all in agreement that there is no acceleration,Inaccurate,https://science.feedback.org/review/global-data-contradict-claim-of-no-acceleration-in-sea-level-rise/,2020-04-01
Global warming and the COVID-19 pandemic are unrelated issues: one will not protect us from the other,"If we want to protect ourselves from the coronavirus, we must back away from all the climate change efforts we've been making",Flawed reasoning,https://science.feedback.org/review/global-warming-and-the-covid-19-pandemic-are-unrelated-issues-one-will-not-protect-us-from-the-other-life-site-news/,2020-03-25
"Temperature trends in the U.S. are consistent with warming around the world, contrary to Electroverse claim",Historical data of temperature in the U.S. destroys global warming myth,Flawed reasoning,https://science.feedback.org/review/temperature-trends-in-the-u-s-are-consistent-with-warming-around-the-world-contrary-to-electroverse-claim-cap-allon/,2020-03-24
CO2 can increase plant growth in greenhouses while also negatively affecting ecosystems and human societies,"CO2 is a plant nutrient...it’s not a pollutant that threatens human civilization. If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.",Flawed reasoning,https://science.feedback.org/review/co2-can-increase-plant-growth-in-greenhouses-while-also-negatively-affecting-ecosystems-and-human-societies-mike-adams-natural-news/,2020-03-19
Electroverse article incorrectly claims the Sun is behind climate change,"the IPCC is wrong − the sun, not CO2, drove modern global warming",Incorrect,https://science.feedback.org/review/electroverse-article-incorrectly-claims-the-sun-is-behind-climate-change/,2020-03-18
Sea levels rose faster in the past century than in previous time periods,"Sea level rise has been slow and a constant, pre-dating industrialization",Inaccurate,https://science.feedback.org/review/sea-levels-rose-faster-in-the-past-century-than-in-previous-time-periods/,2020-03-12
Article in The Sun misrepresents Antarctic discovery and misplaces it on map,New study finds a major current in the Southern Ocean has reversed.,Inaccurate,https://science.feedback.org/review/article-in-the-sun-misrepresents-antarctic-discovery-and-misplaces-it-on-map-charlotte-edwards/,2020-03-10
Data from glaciers around the world show most are shrinking as a consequence of global warming,90 percent of the world’s glaciers are growing.,Inaccurate,https://science.feedback.org/review/data-from-glaciers-around-the-world-show-most-are-shrinking-as-a-consequence-of-global-warming/,2020-02-26
"Current climate warming is rapid and occurring on a global scale, unlike past periods of regional climate fluctuations",Of course the climate is changing. It always has. It always will.,Misleading,https://science.feedback.org/review/current-climate-warming-is-rapid-and-occurring-on-a-global-scale-unlike-past-periods-of-regional-climate-fluctuations/,2020-02-21
"Sea levels have risen throughout the 20th century, contrary to claim in online articles",Scientists were caught 'adjusting' sea level data to create false impression of rising oceans,Inaccurate,https://science.feedback.org/review/sea-levels-have-risen-throughout-the-20th-century-contrary-to-claim-in-online-article/,2020-02-20
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
"Cutting emissions today limits future climate impacts, but certain changes are ‘locked in’ due to past CO2 emissions","Antarctica gained ice from 2021 to 2023 so global warming is over, sea-levels aren't rising, and ice loss has reversed in Antarctica.",Inaccurate,https://science.feedback.org/cutting-emissions-today-limits-future-climate-impacts-certain-changes-are-locked-in-due-to-past-co2-emissions/,2025-06-27
"Human-driven climate change largely responsible for last 50 years of worsening fire weather in Western North America, new study shows",The first-ever artificial intelligence-led peer-reviewed climate science paper has confirmed that climate change is a hoax.,Incorrect,https://science.feedback.org/human-driven-climate-change-largely-responsible-last-50-years-worsening-fire-weather-western-north-america-new-study-shows/,2025-05-28
NOAA does not fraudulently adjust data to create the illusion of a global warming trend,"Using complex statistical models, [NOAA] change[s] the data to reflect not reality, but their underlying theories of global warming.",Inaccurate,https://science.feedback.org/review/noaa-does-not-fraudulently-adjust-data-to-create-the-illusion-of-a-global-warming-trend-investors/,2020-02-19
"CO2 emissions from human activities have imbalanced the atmospheric carbon budget, significantly contributing to climate change, contrary to online claim",Less than 5% of carbon dioxide emissions are produced by man [... they] can’t cause 30% of today’s atmospheric carbon dioxide,Misleading,https://science.feedback.org/review/co2-emissions-from-human-activities-have-imbalanced-the-atmospheric-carbon-budget-significantly-contributing-to-climate-change-contrary-to-online-claim-issues-insights/,2020-02-11
"Claims of a coming 30-year ""mini ice age"" are not supported by science",Earth about to enter 30-YEAR ‘Mini Ice Age’,Incorrect,https://science.feedback.org/review/claims-of-a-coming-30-year-mini-ice-age-are-not-supported-by-science-the-sun/,2020-02-06
Studies do not support blog's claim that volcanic activity is causing melting of West Antarctic glaciers,"Volcanoes Melting West Antarctic Glaciers, Not Global Warming",Inaccurate,https://science.feedback.org/review/studies-do-not-support-blogs-claim-that-volcanic-activity-is-causing-melting-of-west-antarctic-glaciers/,2020-01-20
Simple measurements demonstrate that CO2 is a greenhouse gas contrary to claim in online blogs,CO2 is not a greenhouse gas.,Inaccurate,https://science.feedback.org/review/simple-measurements-demonstrate-that-co2-is-a-greenhouse-gas-tim-ball/,2020-01-14
Facebook meme incorrectly claims past climate variations contradict human influence on current climate,The idea that 'climate change' is new or is caused by Humans is nonsense.,Incorrect,https://science.feedback.org/review/facebook-meme-incorrectly-claims-past-climate-variations-contradict-human-influence-on-current-climate/,2020-01-13
"Climate change is one factor affecting how fires in Australia burn, regardless of whether arsonists or lightning started them","the bushfires [in Australia] were caused by arsonists and a series of lightning strikes, not 'climate change'",Misleading,https://science.feedback.org/review/climate-change-bushfires-australia-breitbart-newspunch/,2020-01-08
Volcanic CO2 emissions are known to be much smaller than human-caused emissions,Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,Inaccurate,https://science.feedback.org/review/volcanic-co2-emissions-known-much-smaller-than-human-caused-emissions-james-edward-kamis/,2020-01-03
Article falsely attributes invented quotes to James Hansen,Father of Global Warming’ Scientist Finally Admits Theory Is Wrong,Inaccurate,https://science.feedback.org/review/article-falsely-attributes-invented-quotes-to-james-hansen-dmitry-baxter/,2020-01-01
Ice cube meme misrepresents physics of sea level rise to claim melting ice has no effect,"[Photo] A little science lesson for the #idiots at the global warming conference. Ice berg melts, ocean level remains the same.",Incorrect,https://science.feedback.org/review/ice-cube-meme-misrepresents-physics-of-sea-level-rise-to-claim-melting-ice-has-no-effect/,2019-12-17
"Major wine regions could disappear from global warming, Europe to be hit especially hard",The Texas floods on 4 July 2025 were caused by intentional weather manipulation and human interference,Incorrect,https://science.feedback.org/major-wine-regions-could-disappear-from-global-warming-europe-to-be-hit-especially-hard/,2025-09-15
